city,year,total_investment_amount_rmb_m,total_investment_count,early_investment_amount_rmb_m,early_investment_count,early_investment_amount_share,early_investment_count_share
金华市,2021,1043.92,28,,9,,0.321429
金华市,2022,60.6,12,6.0,4,,0.333333
金华市,2023,318.08,6,114.3,2,,0.333333
金华市,2024,20.0,1,20.0,1,1.0,1.0
钦州市,2015,0.0,0,0.0,0,,
钦州市,2016,0.0,0,0.0,0,,
钦州市,2017,0.0,0,0.0,0,,
钦州市,2018,,1,,1,,1.0
钦州市,2019,0.0,0,0.0,0,,
钦州市,2020,0.0,0,0.0,0,,
钦州市,2021,0.0,0,0.0,0,,
钦州市,2022,0.0,0,0.0,0,,
钦州市,2023,0.0,0,0.0,0,,
钦州市,2024,0.0,0,0.0,0,,
铜川市,2015,0.0,0,0.0,0,,
铜川市,2016,0.0,0,0.0,0,,
铜川市,2017,0.0,0,0.0,0,,
铜川市,2018,0.0,0,0.0,0,,
铜川市,2019,0.0,0,0.0,0,,
铜川市,2020,,1,,1,,1.0
铜川市,2021,,2,,2,,1.0
铜川市,2022,0.0,0,0.0,0,,
铜川市,2023,0.0,0,0.0,0,,
铜川市,2024,0.0,0,0.0,0,,
铜陵市,2015,0.0,0,0.0,0,,
铜陵市,2016,15.23,3,,1,,0.333333
铜陵市,2017,,1,,1,,1.0
铜陵市,2018,0.0,0,0.0,0,,
铜陵市,2019,0.0,0,0.0,0,,
铜陵市,2020,,1,0.0,0,,0.0
铜陵市,2021,117.91,6,,1,,0.166667
铜陵市,2022,142.04,11,,2,,0.181818
铜陵市,2023,570.0,13,175.0,5,,0.384615
铜陵市,2024,144.5,6,35.0,2,0.242215,0.333333
银川市,2015,0.0,0,0.0,0,,
银川市,2016,0.0,0,0.0,0,,
银川市,2017,0.0,0,0.0,0,,
银川市,2018,,1,0.0,0,,0.0
银川市,2019,99.81,7,,2,,0.285714
银川市,2020,200.0,2,200.0,2,,1.0
银川市,2021,0.0,0,0.0,0,,
银川市,2022,50.0,1,0.0,0,0.0,0.0
银川市,2023,0.0,0,0.0,0,,
银川市,2024,,1,0.0,0,,0.0
锡林郭勒盟,2015,0.0,0,0.0,0,,
锡林郭勒盟,2016,,1,,1,,1.0
锡林郭勒盟,2017,0.0,0,0.0,0,,
锡林郭勒盟,2018,0.0,0,0.0,0,,
锡林郭勒盟,2019,0.0,0,0.0,0,,
